headerdatestamp|headeridentifier|headersetSpec|metadata.mods.genre#text|metadata.mods.genre@authority|metadata.mods.identifier#text|metadata.mods.identifier@type|metadata.mods.location.url.0#text|metadata.mods.location.url.0@access|metadata.mods.location.url.0@usage|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@type|metadata.mods.namenamePart|metadata.mods.note.0|metadata.mods.note.1#text|metadata.mods.note.1@displayLabel|metadata.mods.originInfo.0publisher|metadata.mods.originInfo.1dateOther|metadata.mods.physicalDescriptioninternetMediaType|metadata.mods.relatedItem.0.titleInfotitle|metadata.mods.relatedItem.0@type|metadata.mods.relatedItem.1.titleInfotitle|metadata.mods.subject.0topic|metadata.mods.subject.1geographic|metadata.mods.subject.1topic|metadata.mods.subject.2geographic|metadata.mods.subject.2topic|metadata.mods.subject.3geographic|metadata.mods.subject.3topic|metadata.mods.subject.4geographic|metadata.mods.subject.4topic|metadata.mods.subject.5geographic|metadata.mods.subject.5topic|metadata.mods.subject.6geographic|metadata.mods.subject.6topic|metadata.mods.subject.7geographic|metadata.mods.subject.7topic|metadata.mods.subject.8geographic|metadata.mods.subject.8topic|metadata.mods.subject.9geographic|metadata.mods.subject.9topic|metadata.mods.subjecttopic|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsaccessCondition|metadata.modstypeOfResource
2019-11-19T04:01:56Z|webster_1013|webster|image|dct|0012_002333_000251_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1013|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1013/datastream/TN/view|preview|creator|text|Herbert M. Webster|#49: Nice view of chimneys from highway|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Chimney Tops|    |Newfound Gap Road/ U.S. 441|Chimney Tops|    |Newfound Gap Road/ U.S. 441|    |    |    |    |    |    |    |    |    |    |    |    |    |    |Nice view of chimneys from highway|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1239|webster|image|dct|0012_002333_000469_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1239|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1239/datastream/TN/view|preview|creator|text|Herbert M. Webster|#233: [?] Turrentine at Double Springs Gap. Trip to Siler's from Clingmans|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|1953 December15|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Hiking|    |Appalachian Trail|    |Double Spring Gap|Double Spring Gap|    |    |    |    |    |    |    |    |    |    |    |    |    |    |[?] Turrentine at Double Springs Gap. Trip to Siler's from Clingmans|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1063|webster|image|dct|0012_002333_000283_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1063|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1063/datastream/TN/view|preview|creator|text|Herbert M. Webster|#74: Charley's Bunion From Dry Sluice Gap|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Charlies Bunion|    |Dry Sluice Gap|    |Porters Creek|Charlies Bunion|    |Dry Sluice Gap|    |Porters Creek|    |    |    |    |    |    |    |    |    |    |Charley's Bunion From Dry Sluice Gap|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1057|webster|image|dct|0012_002333_000280_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1057|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1057/datastream/TN/view|preview|creator|text|Herbert M. Webster|#71: Rainbow Falls where the falls are frozen from top to Bottom (Most views show the upper portion frozen and a 'cone' building up at the bottom)|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|1933 February|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Waterfalls|    |Rainbow Falls|    |Le Conte Creek|Rainbow Falls|    |Le Conte Creek|    |    |    |    |    |    |    |    |    |    |    |    |Rainbow Falls where the falls are frozen from top to Bottom (Most views show the upper portion frozen and a 'cone' building up at the bottom)|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1078|webster|image|dct|0012_002333_000255_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1078|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1078/datastream/TN/view|preview|creator|text|Herbert M. Webster|#52: Mt. Sterling from State Line near Low Gap|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|1934 August 3|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Appalachian Trail|    |Mount Sterling|    |Low Gap|Mount Sterling|    |Low Gap|    |    |    |    |    |    |    |    |    |    |    |    |Mt. Sterling from State Line near Low Gap|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1364|webster|image|dct|0012_002333_000600_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1364|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1364/datastream/TN/view|preview|creator|text|Herbert M. Webster|#344: The Great Cascades. Roaring Fork|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|1937 March 1|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Waterfalls|    |Roaring Fork|Roaring Fork|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |The Great Cascades. Roaring Fork|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1034|webster|image|dct|0012_002333_000219_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1034|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1034/datastream/TN/view|preview|creator|text|Herbert M. Webster|#17: Pool at Three Forks|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Three Forks|Three Forks|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Pool at Three Forks|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1263|webster|image|dct|0012_002333_000497_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1263|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1263/datastream/TN/view|preview|creator|text|Herbert M. Webster|#253: End view of Cabin in the Brier|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Cabins|    |Structures|    |Smoky Mountains Hiking Club Cabin|    |Greenbrier Cove|Greenbrier Cove|    |    |    |    |    |    |    |    |    |    |    |    |End view of Cabin in the Brier|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1424|webster|image|dct|0012_002333_000666_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1424|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1424/datastream/TN/view|preview|creator|text|Herbert M. Webster|#404: Sheep on Standing Indian hike|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Cattle and sheep|    |Tellico|Tellico|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Sheep on Standing Indian hike|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1133|webster|image|dct|0012_002333_000346_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1133|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1133/datastream/TN/view|preview|creator|text|Herbert M. Webster|#131: Self at odd shaped tree near Strattons Bald|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Stratton Bald|    |Herbert Webster|Stratton Bald|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Self at odd shaped tree near Strattons Bald|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
